% run#
% track1: exppar1 exppar2;
      17
   2000.00000000      0.00000000
    500.00000000    180.00000000
    250.00000000      0.00000000
    500.00000000      0.00000000
    250.00000000    180.00000000
   2000.00000000    180.00000000
   1000.00000000    180.00000000
   1000.00000000      0.00000000
   2000.00000000    180.00000000
   1000.00000000    180.00000000
    500.00000000    180.00000000
    250.00000000      0.00000000
    250.00000000    180.00000000
    500.00000000      0.00000000
   2000.00000000      0.00000000
   1000.00000000      0.00000000
