%   exppar1[dB]   expvar[samples]
   -7.00000000   -50.66666667   6.79869268
   10.00000000   90.00000000   5.53774924
   -10.00000000   -62.66666667   2.74873708
   4.00000000   12.00000000   3.26598632
   -4.00000000   -9.33333333   5.49747417
   7.00000000   47.33333333   4.26874949
   0.00000000   0.00000000   2.00000000
   0.00000000   -1.33333333   4.26874949
   -4.00000000   -15.33333333   5.37483850
   -7.00000000   -22.00000000   2.00000000
   4.00000000   4.00000000   3.26598632
   7.00000000   41.33333333   6.79869268
   -10.00000000   -44.66666667   2.74873708
   10.00000000   78.00000000   3.82970843
