%   exppar1[dB]   expvar[samples]
   0.00000000   -4.00000000   2.00000000
   10.00000000   49.33333333   6.28932075
   -10.00000000   -24.66666667   4.42216639
   4.00000000   8.00000000   3.26598632
   -4.00000000   -6.00000000   5.03322296
   7.00000000   17.33333333   5.96284794
   -7.00000000   -23.33333333   3.77123617
   -4.00000000   -10.00000000   4.00000000
   -10.00000000   -49.33333333   5.84997626
   10.00000000   45.33333333   4.42216639
   4.00000000   7.33333333   5.96284794
   -7.00000000   -13.33333333   2.74873708
   7.00000000   10.00000000   8.86942313
   0.00000000   2.00000000   3.26598632
