% run#   track#   exppar1[Hz]   expvar[dB]   n.pres   n.correct
1   1   1000.00000000   45.00000000   10   5
1   1   1000.00000000   50.00000000   10   4
1   1   1000.00000000   55.00000000   10   7
1   1   1000.00000000   60.00000000   10   9
1   1   1000.00000000   65.00000000   10   10
1   1   1000.00000000   70.00000000   10   10
1   1   1000.00000000   75.00000000   10   10
