%   exppar1[Hz]   expvar[dB]
   3.00000000   -17.33333333   1.10554160
   7.00000000   -15.00000000   0.81649658
   70.00000000   -17.83333333   1.77169097
   100.00000000   -16.83333333   1.46249406
   20.00000000   -22.00000000   1.82574186
   5.00000000   -18.83333333   0.89752747
   10.00000000   -16.50000000   0.50000000
   30.00000000   -20.33333333   0.74535599
   50.00000000   -18.66666667   0.74535599
   15.00000000   -14.50000000   1.25830574
   5.00000000   -15.83333333   1.06718737
   100.00000000   -17.16666667   1.06718737
   15.00000000   -14.83333333   1.06718737
   7.00000000   -13.66666667   1.79505494
   3.00000000   -18.00000000   1.29099445
   30.00000000   -18.16666667   1.06718737
   50.00000000   -18.16666667   1.06718737
   20.00000000   -19.00000000   1.63299316
   10.00000000   -19.33333333   0.94280904
   70.00000000   -17.33333333   2.05480467
   100.00000000   -18.33333333   1.10554160
   50.00000000   -17.33333333   1.49071198
   20.00000000   -20.66666667   1.37436854
   10.00000000   -22.00000000   1.91485422
   15.00000000   -16.66666667   0.74535599
   30.00000000   -18.33333333   1.49071198
   7.00000000   -14.50000000   0.95742711
   70.00000000   -18.00000000   1.29099445
   3.00000000   -18.33333333   0.94280904
   5.00000000   -16.50000000   1.50000000
