%   exppar1[dB]   expvar[samples]
   0.00000000   -0.66666667   2.98142397
   4.00000000   5.33333333   4.26874949
   -10.00000000   0.12345678   0.00000000
   10.00000000   0.12345678   0.00000000
   -7.00000000   -14.66666667   2.74873708
   -4.00000000   -3.33333333   2.74873708
   7.00000000   25.33333333   8.53749898
   0.00000000   2.00000000   3.26598632
   4.00000000   4.00000000   3.26598632
   -10.00000000   -59.33333333   3.77123617
   -4.00000000   -6.00000000   5.16397779
   -7.00000000   -13.33333333   4.26874949
   10.00000000   38.00000000   7.57187779
   7.00000000   14.00000000   4.00000000
