%   exppar1[Hz]   exppar2[degree]   expvar[dB]
   250.00000000   0.00000000   -2.50000000   0.50000000
   2000.00000000   180.00000000   -21.00000000   1.87082869
   1000.00000000   0.00000000   -11.75000000   0.82915620
   250.00000000   180.00000000   -16.75000000   2.16506351
   1000.00000000   180.00000000   -22.00000000   1.58113883
   2000.00000000   0.00000000   -15.75000000   3.34477204
   500.00000000   0.00000000   -10.50000000   0.50000000
   500.00000000   180.00000000   -22.50000000   1.11803399
   2000.00000000   0.00000000   -12.75000000   1.47901995
   250.00000000   0.00000000   -6.50000000   1.11803399
   250.00000000   180.00000000   -20.75000000   1.47901995
   500.00000000   180.00000000   -23.25000000   1.47901995
   1000.00000000   180.00000000   -24.75000000   1.63935963
   1000.00000000   0.00000000   -12.00000000   1.22474487
   2000.00000000   180.00000000   -20.50000000   0.50000000
   500.00000000   0.00000000   -13.50000000   1.11803399
