%   exppar1[Hz]   expvar[dB]
   16.00000000   -18.50000000   0.95742711
   32.00000000   -21.33333333   1.10554160
   64.00000000   -19.00000000   0.81649658
   128.00000000   -15.33333333   0.74535599
   256.00000000   -12.50000000   1.38443731
   8.00000000   -20.83333333   1.57233019
   16.00000000   -15.33333333   1.24721913
   32.00000000   -17.33333333   1.24721913
   64.00000000   -18.66666667   1.10554160
   256.00000000   -9.83333333   0.89752747
   8.00000000   -19.66666667   1.24721913
   128.00000000   -16.83333333   1.34370962
