%   exppar1[Hz]   expvar[dB]
   16.00000000   -15.16666667   1.95078332
   256.00000000   -9.33333333   1.49071198
   128.00000000   -13.66666667   1.24721913
   32.00000000   -14.50000000   1.25830574
   64.00000000   -16.16666667   1.06718737
   8.00000000   -17.50000000   1.70782513
   128.00000000   -15.50000000   0.50000000
   256.00000000   -10.83333333   1.06718737
   32.00000000   -15.16666667   1.06718737
   8.00000000   -15.16666667   1.06718737
   16.00000000   -14.50000000   0.50000000
   64.00000000   -15.66666667   0.74535599
